# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AATBC	AATBC	NR_026961.1		0	0	0	38	0	0	0	0	0	0	0	12	0	3	0	5	0	0	0	0	0	18
ABCC13	ABCC13	NR_003087.1		0	0	0	87	0	0	0	0	0	0	0	11	0	56	0	5	0	0	0	0	0	15
ABCC13	ABCC13	NR_003088.1		0	0	0	68	0	0	0	0	0	0	0	12	0	39	0	2	0	0	0	0	0	15
ABCG1	ABCG1	NM_004915.3	protein_coding	0	1	0	129	3	0	0	0	0	0	0	13	0	108	0	0	0	0	0	0	1	5
ABCG1	ABCG1	NM_016818.2	protein_coding	0	1	0	129	3	0	0	0	0	0	0	13	0	108	0	0	0	0	0	0	1	5
ABCG1	ABCG1	NM_207174.1	protein_coding	0	1	0	129	3	0	1	0	0	0	0	13	0	107	0	0	0	0	0	0	1	5
ABCG1	ABCG1	NM_207627.1	protein_coding	0	1	0	139	3	0	0	0	0	0	0	13	0	120	0	0	0	0	0	0	1	3
ABCG1	ABCG1	NM_207628.1	protein_coding	0	1	0	139	3	0	0	0	0	0	0	13	0	120	0	0	0	0	0	0	1	3
ABCG1	ABCG1	NM_207629.1	protein_coding	0	1	0	130	3	0	0	0	0	0	0	13	0	108	0	0	0	0	0	0	1	6
ADAMTS1	ADAMTS1	NM_006988.5	protein_coding	0	5	3	35	2	0	2	0	0	0	0	9	0	18	3	0	0	0	0	0	5	4
ADAMTS5	ADAMTS5	NM_007038.5	protein_coding	0	2	3	90	13	0	3	0	0	0	0	11	0	55	3	0	0	0	0	0	2	8
ADARB1	ADARB1	NM_001112.4	protein_coding	0	4	0	207	11	0	0	0	0	0	0	3	0	188	0	0	0	0	2	0	2	7
ADARB1	ADARB1	NM_001160230.2	protein_coding	0	4	0	207	2	0	0	0	0	0	0	3	0	197	0	0	0	0	2	0	2	7
ADARB1	ADARB1	NM_001346687.2	protein_coding	0	3	2	112	2	0	0	0	0	0	0	3	0	106	2	0	0	0	2	0	1	3
ADARB1	ADARB1	NM_001346688.1	protein_coding	0	4	0	206	2	0	1	0	0	0	0	3	0	196	0	0	0	0	2	0	2	6
ADARB1	ADARB1	NM_015833.4	protein_coding	0	4	0	207	11	0	0	0	0	0	0	3	0	188	0	0	0	0	2	0	2	7
ADARB1	ADARB1	NM_015834.4	protein_coding	0	4	0	207	2	0	0	0	0	0	0	3	0	197	0	0	0	0	2	0	2	7
ADARB1	ADARB1	NR_027672.2		0	2	0	209	0	0	0	0	0	0	0	3	0	197	0	4	0	0	2	0	0	7
ADARB1	ADARB1	NR_027673.1		0	4	0	207	0	0	0	0	0	0	0	3	0	196	0	5	0	0	4	0	0	7
ADARB1	ADARB1	NR_027674.2		0	2	0	209	0	0	0	0	0	0	0	3	0	196	0	5	0	0	2	0	0	7
ADARB1	ADARB1	NR_073200.2		0	2	0	209	0	0	0	0	0	0	0	3	0	196	0	5	0	0	2	0	0	7
ADARB1	ADARB1	NR_144483.2		0	2	0	209	0	0	0	0	0	0	0	3	0	197	0	4	0	0	2	0	0	7
AGPAT3	AGPAT3	NM_001037553.2	protein_coding	0	0	1	125	11	0	1	0	0	0	0	4	0	106	1	0	0	0	0	0	0	3
AGPAT3	AGPAT3	NM_001369878.1	protein_coding	0	0	1	185	11	0	0	0	0	0	0	4	0	166	1	0	0	0	0	0	0	4
AGPAT3	AGPAT3	NM_001369880.1	protein_coding	0	0	1	135	11	0	0	0	0	0	0	4	0	120	1	0	0	0	0	0	0	0
AGPAT3	AGPAT3	NM_001369881.1	protein_coding	0	0	1	185	11	0	1	0	0	0	0	4	0	165	1	0	0	0	0	0	0	4
AGPAT3	AGPAT3	NM_020132.5	protein_coding	0	0	1	185	11	0	1	0	0	0	0	4	0	165	1	0	0	0	0	0	0	4
AIRE	AIRE	NM_000383.4	protein_coding	0	6	2	37	0	0	0	0	0	0	0	3	0	26	2	0	0	0	2	0	5	9
ANKRD20A11P	ANKRD20A11P	NR_027270.1		0	0	0	102	0	0	0	0	0	0	0	17	0	77	0	2	0	0	0	0	0	6
ANKRD30BP2	ANKRD30BP2	NR_026916.1		1	0	0	58	0	0	0	0	0	0	0	2	0	23	0	7	1	0	0	0	0	27
APP	APP	NM_000484.4	protein_coding	0	0	0	523	0	0	0	0	0	0	0	16	0	503	0	0	0	0	0	0	0	4
APP	APP	NM_001136016.3	protein_coding	0	0	0	472	0	0	0	0	0	0	0	16	0	448	0	0	0	0	0	0	0	8
APP	APP	NM_001136129.3	protein_coding	0	0	0	523	0	0	0	0	0	0	0	16	0	503	0	0	0	0	0	0	0	4
APP	APP	NM_001136130.3	protein_coding	0	0	0	523	0	0	0	0	0	0	0	16	0	503	0	0	0	0	0	0	0	4
APP	APP	NM_001136131.2	protein_coding	0	0	0	523	0	0	0	0	0	0	0	16	0	503	0	0	0	0	0	0	0	4
APP	APP	NM_001204301.2	protein_coding	0	0	0	523	0	0	0	0	0	0	0	16	0	503	0	0	0	0	0	0	0	4
APP	APP	NM_001204302.2	protein_coding	0	0	0	523	0	0	0	0	0	0	0	16	0	503	0	0	0	0	0	0	0	4
APP	APP	NM_001204303.2	protein_coding	0	0	0	523	0	0	0	0	0	0	0	16	0	503	0	0	0	0	0	0	0	4
APP	APP	NM_201413.3	protein_coding	0	0	0	523	0	0	0	0	0	0	0	16	0	503	0	0	0	0	0	0	0	4
APP	APP	NM_201414.3	protein_coding	0	0	0	523	0	0	0	0	0	0	0	16	0	503	0	0	0	0	0	0	0	4
ATP5PF	ATP5PF	NM_001003696.1	protein_coding	0	0	0	13	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	3
ATP5PF	ATP5PF	NM_001003697.1	protein_coding	0	0	0	13	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	3
ATP5PF	ATP5PF	NM_001003701.1	protein_coding	0	0	0	13	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	3
ATP5PF	ATP5PF	NM_001003703.1	protein_coding	0	0	0	13	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	3
ATP5PF	ATP5PF	NM_001320266.1	protein_coding	0	0	0	13	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	3
ATP5PF	ATP5PF	NM_001320267.1	protein_coding	0	0	0	13	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	3
ATP5PF	ATP5PF	NM_001685.4	protein_coding	0	0	0	13	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	3
ATP5PO	ATP5PO	NM_001697.3	protein_coding	0	2	1	48	0	0	0	0	0	0	0	11	0	33	1	0	0	0	0	0	2	4
B3GALT5	B3GALT5	NM_001278650.1	protein_coding	0	1	1	88	3	0	0	0	0	0	0	8	0	63	1	0	0	0	0	0	1	14
